,Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description,Country,Continent
0,"[""2015 <= Year >= 2020""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Not found
1,,2015.0,1.0,14.0,5.0,22.0,23.0,,,CHINA:  SICHUAN PROVINCE:  LESHAN,29.353,103.199,10.0,5.3,6.0,,,,,11.0,1.0,,2.0,,,2000.0,4.0,,,,,11.0,1.0,,2.0,,,2000.0,4.0,CHINA,Asia
2,,2015.0,2.0,16.0,23.0,6.0,27.0,5580.0,,JAPAN:  HONSHU,39.856,142.881,23.0,6.7,4.0,,,,,,,,,,,,,,,,,,,,,,,,,JAPAN,Asia
3,,2015.0,2.0,19.0,13.0,19.0,21.0,5582.0,,VANUATU ISLANDS,-16.431,168.148,10.0,6.4,5.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,VANUATU ISLANDS,Oceania
4,,2015.0,2.0,20.0,22.0,37.0,28.0,,,CHINA:  YUNNAN PROVINCE,23.01,101.755,10.0,4.5,,,,,,,,,1.0,,,276.0,3.0,,,,,,,,1.0,,,276.0,3.0,CHINA,Asia
5,,2015.0,2.0,21.0,21.0,21.0,8.0,,,BALKANS NW:  BOSNIA-HERZEGOVINA:,44.534,18.934,7.0,3.6,,4.0,1.0,,,1.0,1.0,,,,,,,4.0,1.0,,,1.0,1.0,,,,,,,BOSNIA-HERZEGOVINA,Not found
6,,2015.0,2.0,22.0,6.0,43.0,14.0,,,CHINA:  XINJIANG PROVINCE:  SHAWAN,44.133,85.568,12.0,5.1,,,,,,,,14.65,3.0,,,1728.0,4.0,,,,,,,14.65,3.0,,,1728.0,4.0,CHINA,Asia
7,,2015.0,2.0,26.0,21.0,59.0,14.0,,,PAKISTAN:  BATTAGRAM,34.671,73.278,30.0,5.4,4.0,,,,,5.0,1.0,,1.0,,,2.0,1.0,,,,,5.0,1.0,,1.0,,,2.0,1.0,PAKISTAN,Asia
8,,2015.0,2.0,28.0,20.0,10.0,56.0,,,PERU:  AREQUIPA:  CAYLLOMA:  CABANACONDE,-15.693,-71.934,10.0,4.5,3.0,,,,,,,,2.0,64.0,2.0,500.0,3.0,,,,,,,,2.0,64.0,2.0,500.0,3.0,PERU,South America
9,,2015.0,3.0,1.0,10.0,24.0,5.0,,,"CHINA:   YUNNAN PROVINCE:  CANGYUAN, GENGMA",23.5,98.9,11.0,5.5,,,,,,39.0,1.0,15.0,3.0,220.0,3.0,15800.0,4.0,,,,,39.0,1.0,15.0,3.0,220.0,3.0,15800.0,4.0,CHINA,Asia
